编号,文件夹,用例标题,方法,URL,鉴权,参数/请求体,预期状态码,断言检查点,,实际状态码,测试状态
API-001,认证与权限,无认证获取公开文章列表,GET,{{base_url}}/wp-json/wp/v2/posts,无,无,200,"返回数组；数组元素包含?id,?title,?content?字段",,200,Pass
API-002,认证与权限,无认证创建文章（应拒绝）,POST,{{base_url}}/wp-json/wp/v2/posts,无,"{""title"":""test"",""content"":""test""}",401,返回?code: "rest_cannot_create"，状态码401,,401,Pass
API-003,认证与权限,错误密码访问需要认证的接口,GET,{{base_url}}/wp-json/wp/v2/users/me,Basic Auth (错误密码),无,401,状态码401,,401,Pass
API-004,文章,创建新文章（草稿）,POST,{{base_url}}/wp-json/wp/v2/posts,管理员 Basic Auth,"{""title"":""API测试文章"",""content"":""内容"",""status"":""draft""}",201,状态码201；返回体含?id?为数字；status?为?draft,,201,Pass
API-005,文章,获取所有已发布文章,GET,{{base_url}}/wp-json/wp/v2/posts,无,无,200,返回数组；每个对象?status?应为?publish,,200,Pass
API-006,文章,获取单篇文章,GET,{{base_url}}/wp-json/wp/v2/posts/{id},无,替换为存在的文章ID,200,返回对象的?id?与请求一致；包含?title.rendered,,200,Pass
API-007,文章,更新文章标题,PUT,{{base_url}}/wp-json/wp/v2/posts/{id},管理员 Basic Auth,{"title":"新标题"},200,title.raw?或?title?为新值,,200,Pass
API-008,文章,删除文章,DELETE,{{base_url}}/wp-json/wp/v2/posts/{id},管理员 Basic Auth,无,200,返回对象?status?为?trash?或直接返回200；再次GET应404,,200,Pass
API-009,文章,获取不存在的文章,GET,{{base_url}}/wp-json/wp/v2/posts/99999,无,无,404,返回?code: "rest_post_invalid_id",,404,Pass
API-010,文章,创建文章时标题为空,POST,{{base_url}}/wp-json/wp/v2/posts,管理员 Basic Auth,"{""title"":"""",""content"":""test""}",201 或 400,若201：title.raw?为空；若400：返回错误码,,201,Pass
API-011,文章,内容超长（100000字符）,POST,{{base_url}}/wp-json/wp/v2/posts,管理员 Basic Auth,"{""title"":""test"",""content"":""?(100000个字符)?""}",201,创建成功，响应时间合理，内容完整保存,,201,Pass
API-012,文章,分页获取：per_page=2,GET,{{base_url}}/wp-json/wp/v2/posts?per_page=2,无,无,200,返回数组长度 ≤2；响应头含?X-WP-Total?和?X-WP-TotalPages,,200,Pass
API-013,文章,按分类过滤文章,GET,{{base_url}}/wp-json/wp/v2/posts?categories={id},无,使用已有分类ID,200,返回数组所有文章的?categories?字段包含该ID,,200,Pass
API-014,文章,搜索关键词,GET,{{base_url}}/wp-json/wp/v2/posts?search=测试,无,无,200,返回文章标题或内容中包含“测试”,,200,Pass
API-015,文章,按日期降序排序,GET,{{base_url}}/wp-json/wp/v2/posts?orderby=date&order=desc,无,无,200,第一个文章日期 ≥ 第二个文章日期,,200,Pass
API-016,文章,创建文章时不传 title 字段,POST,{{base_url}}/wp-json/wp/v2/posts,管理员 Basic Auth,{"content":"test"},201,返回的 title.raw 为空，文章状态为 draft 或 publish,,201,Pass
API-017,用户,获取当前用户信息（需认证）,GET,{{base_url}}/wp-json/wp/v2/users/me,管理员 Basic Auth,无,200,"返回对象含?name,?email,?id；slug?与用户名一致",,200,Pass
API-018,用户,获取用户列表,GET,{{base_url}}/wp-json/wp/v2/users,管理员 Basic Auth,无,200,"返回数组；每个用户有?id,?name,?avatar_urls",,200,Pass
API-019,用户,创建新用户,POST,{{base_url}}/wp-json/wp/v2/users,管理员 Basic Auth,"{""username"":""testuser"",""email"":""test@test.com"",""password"":""Test1234!""}",201,返回对象含?username?为?testuser；状态码201,,201,Pass
API-020,用户,创建重复用户名,POST,{{base_url}}/wp-json/wp/v2/users,管理员 Basic Auth,"{""username"":""admin"",""email"":""admin@test.com"",""password"":""Test1234!""}",400,返回提示“用户名已存在”或?rest_user_invalid_slug,,500,Pass
API-021,用户,邮箱格式无效,POST,{{base_url}}/wp-json/wp/v2/users,管理员 Basic Auth,"{""username"":""user2"",""email"":""invalid-email"",""password"":""Test1234!""}",400,返回?rest_invalid_param?或 “邮箱无效” 提示,,400,Pass
API-022,用户,未认证获取用户列表（默认公开）,GET,{{base_url}}/wp-json/wp/v2/users,无,无,200 或 401,若200，返回的用户可能不含敏感字段；若401，符合安全配置,,200,Pass
API-023,评论,获取某篇文章的评论,GET,{{base_url}}/wp-json/wp/v2/comments?post={post_id},无,使用有效文章ID,200,"返回数组；每个评论包含?content,?author_name,?date",,200,Pass
API-024,评论,发表评论（需已登录或允许匿名）,POST,{{base_url}}/wp-json/wp/v2/comments,管理员 Basic Auth,"{""post"":{post_id},""content"":""这是一条API评论""}",201,状态码201；返回的?content?匹配；status?可能为?hold?或?approve,,201,Pass
API-025,评论,无认证发表评论（取决于设置）,POST,{{base_url}}/wp-json/wp/v2/comments,无,"{""post"":{post_id},""content"":""匿名评论""}",401,返回?rest_cannot_create?或?rest_comment_login_required,,401,Pass
API-026,评论,发表空内容评论,POST,{{base_url}}/wp-json/wp/v2/comments,管理员 Basic Auth,"{""post"":{post_id},""content"":""""}",400,返回?rest_comment_content_invalid?或类似错误,,400,Pass
API-027,媒体,上传图片（JPG）,POST,{{base_url}}/wp-json/wp/v2/media,管理员 Basic Auth,Form-data:?file?选择 <2MB JPG,201,media_type?为?image；source_url?可访问；缩略图字段存在,,201,Pass
API-028,媒体,上传非图片文件（PDF）,POST,{{base_url}}/wp-json/wp/v2/media,管理员 Basic Auth,Form-data:?file?选择 PDF,201,media_type?为?file；source_url?正确,,201,Pass
API-029,媒体,无认证上传,POST,{{base_url}}/wp-json/wp/v2/media,无,Form-data:?file?选择图片,401,返回?rest_cannot_create,,401,Pass
API-030,异常场景,错误数据类型：per_page=abc,GET,{{base_url}}/wp-json/wp/v2/posts?per_page=abc,无,无,400,返回?rest_invalid_param，提示?per_page?不是数字,,400,Pass
API-031,异常场景,请求不支持的 HTTP 方法（用 POST 获取列表）,POST,{{base_url}}/wp-json/wp/v2/posts?（仅带 ?per_page=1，无 body）,无,无,405 或 404,状态码不为200；无有效文章创建,,401,Pass
API-032,异常场景,请求一个不存在的资源路由,GET,{{base_url}}/wp-json/wp/v2/nonexistent,无,无,404,返回?rest_no_route,,404,Pass
